Team,Attendance,Temp,Win%,OpWin%,Weekend,Promotion
Royals,40605.0,80.0,401.0,525.0,0.0,1.0
Royals,10856.0,43.0,401.0,525.0,0.0,0.0
Royals,15975.0,64.0,0.0,333.0,1.0,1.0
Royals,15178.0,64.0,333.0,250.0,1.0,0.0
Royals,10788.0,52.0,250.0,400.0,1.0,1.0
Royals,24456.0,65.0,385.0,692.0,1.0,1.0
Royals,22264.0,35.0,357.0,714.0,1.0,1.0
Royals,17289.0,35.0,337.0,734.0,1.0,1.0
Royals,10470.0,67.0,313.0,176.0,0.0,1.0
Royals,11125.0,79.0,353.0,167.0,0.0,0.0
Royals,11825.0,68.0,333.0,211.0,0.0,0.0
Royals,12372.0,57.0,368.0,381.0,1.0,1.0
Royals,16850.0,75.0,350.0,409.0,1.0,1.0
Royals,15643.0,56.0,333.0,435.0,1.0,1.0
Royals,12555.0,62.0,290.0,300.0,0.0,0.0
Royals,24279.0,67.0,313.0,486.0,1.0,1.0
Royals,10820.0,55.0,333.0,472.0,1.0,1.0
Royals,12389.0,71.0,353.0,579.0,0.0,0.0
Royals,12334.0,74.0,343.0,590.0,0.0,0.0
Royals,12620.0,77.0,361.0,575.0,0.0,0.0
Royals,24055.0,78.0,351.0,585.0,0.0,1.0
Royals,20062.0,68.0,356.0,444.0,1.0,1.0
Royals,21740.0,76.0,370.0,435.0,1.0,1.0
Royals,21740.0,76.0,370.0,435.0,1.0,1.0
Royals,11773.0,82.0,396.0,596.0,0.0,0.0
Royals,13662.0,84.0,408.0,583.0,0.0,0.0
Royals,34194.0,84.0,404.0,552.0,1.0,1.0
Royals,40016.0,86.0,397.0,559.0,1.0,1.0
Royals,26905.0,83.0,390.0,567.0,1.0,1.0
Royals,13493.0,85.0,400.0,500.0,0.0,0.0
Royals,12963.0,88.0,393.0,508.0,0.0,0.0
Royals,14057.0,85.0,403.0,500.0,0.0,0.0
Royals,12952.0,91.0,361.0,356.0,0.0,0.0
Royals,12828.0,93.0,370.0,351.0,0.0,0.0
Royals,16373.0,90.0,378.0,347.0,0.0,0.0
Royals,29935.0,92.0,387.0,418.0,1.0,1.0
Royals,27441.0,96.0,395.0,413.0,1.0,1.0
Royals,22073.0,91.0,390.0,420.0,1.0,1.0
Royals,13031.0,86.0,388.0,593.0,0.0,0.0
Royals,24824.0,81.0,384.0,598.0,1.0,1.0
Royals,19504.0,84.0,379.0,602.0,1.0,1.0
Royals,12457.0,82.0,386.0,596.0,1.0,1.0
Royals,14905.0,86.0,393.0,444.0,0.0,1.0
Royals,14905.0,82.0,399.0,438.0,0.0,1.0
Royals,14677.0,88.0,407.0,435.0,0.0,0.0
Royals,13823.0,87.0,413.0,474.0,0.0,0.0
Royals,15522.0,92.0,419.0,469.0,0.0,0.0
Royals,20922.0,83.0,426.0,447.0,1.0,1.0
Royals,36277.0,84.0,432.0,442.0,1.0,1.0
Royals,36277.0,84.0,432.0,442.0,1.0,1.0
Royals,15637.0,97.0,432.0,442.0,1.0,1.0
Royals,14759.0,85.0,425.0,435.0,0.0,0.0
Royals,13066.0,87.0,419.0,427.0,0.0,0.0
Royals,13461.0,90.0,415.0,433.0,0.0,0.0
Royals,12669.0,96.0,416.0,438.0,0.0,0.0
Royals,23003.0,75.0,400.0,333.0,1.0,1.0
Royals,18213.0,88.0,405.0,329.0,1.0,1.0
Royals,15527.0,96.0,402.0,336.0,1.0,1.0
Royals,28834.0,70.0,407.0,621.0,0.0,0.0
Royals,26383.0,85.0,403.0,624.0,0.0,0.0
Royals,27565.0,92.0,400.0,627.0,0.0,0.0
Royals,11785.0,96.0,409.0,586.0,0.0,0.0
Royals,29685.0,87.0,406.0,589.0,1.0,1.0
Royals,22180.0,79.0,403.0,592.0,1.0,1.0
Royals,13440.0,87.0,400.0,595.0,1.0,1.0
Royals,11096.0,89.0,405.0,611.0,0.0,0.0
Royals,13077.0,88.0,402.0,614.0,0.0,0.0
Royals,15952.0,86.0,398.0,617.0,0.0,0.0
Royals,13363.0,96.0,396.0,583.0,1.0,1.0
Royals,19775.0,96.0,393.0,586.0,1.0,1.0
Royals,11442.0,95.0,390.0,589.0,1.0,1.0
Royals,9555.0,92.0,387.0,483.0,0.0,0.0
Royals,10106.0,88.0,385.0,486.0,0.0,0.0
Royals,12104.0,85.0,382.0,490.0,0.0,0.0
Royals,13271.0,77.0,386.0,444.0,1.0,1.0
Royals,15448.0,84.0,383.0,448.0,1.0,1.0
Royals,11177.0,71.0,387.0,445.0,1.0,1.0
Royals,9878.0,74.0,385.0,348.0,0.0,0.0
Royals,10203.0,82.0,389.0,346.0,0.0,0.0
Royals,11092.0,83.0,386.0,350.0,0.0,0.0
Phillies,50958.0,45.0,531.0,469.0,1.0,1.0
Phillies,18591.0,48.0,531.0,469.0,1.0,1.0
Phillies,18073.0,49.0,531.0,469.0,1.0,1.0
Phillies,14502.0,67.0,500.0,500.0,0.0,0.0
Phillies,13020.0,75.0,429.0,571.0,0.0,0.0
Phillies,14542.0,66.0,500.0,500.0,0.0,0.0
Phillies,14111.0,65.0,556.0,444.0,0.0,0.0
Phillies,13366.0,57.0,500.0,556.0,1.0,0.0
Phillies,15606.0,73.0,455.0,600.0,1.0,0.0
Phillies,19195.0,78.0,417.0,636.0,1.0,1.0
Phillies,12138.0,57.0,368.0,474.0,0.0,0.0
Phillies,12250.0,61.0,400.0,450.0,0.0,0.0
Phillies,12249.0,62.0,381.0,476.0,0.0,0.0
Phillies,15257.0,65.0,325.0,434.0,1.0,0.0
Phillies,16205.0,66.0,345.0,414.0,1.0,0.0
Phillies,32411.0,71.0,367.0,400.0,1.0,1.0
Phillies,12321.0,82.0,387.0,467.0,0.0,0.0
Phillies,13216.0,77.0,406.0,452.0,0.0,0.0
Phillies,12476.0,89.0,424.0,438.0,0.0,0.0
Phillies,20504.0,77.0,441.0,647.0,1.0,0.0
Phillies,32634.0,89.0,457.0,629.0,1.0,1.0
Phillies,21114.0,79.0,444.0,639.0,1.0,1.0
Phillies,21090.0,60.0,409.0,545.0,0.0,0.0
Phillies,22640.0,67.0,422.0,533.0,0.0,0.0
Phillies,26405.0,74.0,435.0,522.0,0.0,0.0
Phillies,15455.0,91.0,404.0,491.0,1.0,0.0
Phillies,16601.0,89.0,396.0,500.0,1.0,0.0
Phillies,19223.0,85.0,407.0,491.0,1.0,1.0
Phillies,14942.0,78.0,418.0,491.0,0.0,0.0
Phillies,13039.0,91.0,411.0,500.0,0.0,0.0
Phillies,16888.0,63.0,444.0,469.0,1.0,0.0
Phillies,20634.0,70.0,438.0,477.0,1.0,0.0
Phillies,41079.0,81.0,446.0,470.0,1.0,1.0
Phillies,17424.0,81.0,439.0,493.0,0.0,0.0
Phillies,21905.0,82.0,433.0,500.0,0.0,1.0
Phillies,22132.0,85.0,441.0,493.0,0.0,1.0
Phillies,17039.0,84.0,435.0,556.0,1.0,0.0
Phillies,18759.0,86.0,441.0,548.0,1.0,0.0
Phillies,38158.0,88.0,437.0,554.0,1.0,1.0
Phillies,18422.0,90.0,456.0,500.0,0.0,0.0
Phillies,20826.0,95.0,463.0,494.0,0.0,0.0
Phillies,50396.0,97.0,457.0,500.0,0.0,1.0
Phillies,12303.0,99.0,463.0,518.0,1.0,0.0
Phillies,44143.0,88.0,458.0,524.0,1.0,1.0
Phillies,15228.0,86.0,452.0,529.0,1.0,0.0
Phillies,17393.0,86.0,453.0,529.0,1.0,1.0
Phillies,23541.0,93.0,467.0,429.0,0.0,0.0
Phillies,27672.0,92.0,473.0,424.0,0.0,1.0
Phillies,20422.0,69.0,470.0,629.0,1.0,0.0
Phillies,23570.0,73.0,468.0,635.0,1.0,0.0
Phillies,25012.0,83.0,458.0,643.0,1.0,0.0
Phillies,27330.0,94.0,471.0,552.0,0.0,0.0
Phillies,22595.0,95.0,467.0,557.0,0.0,0.0
Phillies,20380.0,94.0,472.0,551.0,0.0,0.0
Phillies,17076.0,86.0,477.0,556.0,1.0,0.0
Phillies,23506.0,82.0,481.0,551.0,1.0,0.0
Phillies,28186.0,84.0,477.0,555.0,1.0,1.0
Phillies,20259.0,86.0,473.0,558.0,0.0,0.0
Phillies,14046.0,99.0,470.0,359.0,0.0,0.0
Phillies,14509.0,99.0,475.0,356.0,0.0,0.0
Phillies,14289.0,93.0,479.0,353.0,0.0,0.0
Phillies,31117.0,93.0,483.0,559.0,1.0,0.0
Phillies,20242.0,95.0,488.0,555.0,1.0,1.0
Phillies,58493.0,96.0,484.0,558.0,1.0,1.0
Phillies,16126.0,86.0,496.0,500.0,0.0,0.0
Phillies,13821.0,74.0,500.0,496.0,0.0,0.0
Phillies,14268.0,67.0,496.0,500.0,0.0,0.0
Phillies,18335.0,80.0,504.0,464.0,1.0,0.0
Phillies,21747.0,85.0,500.0,468.0,1.0,1.0
Phillies,24047.0,86.0,496.0,471.0,1.0,1.0
Phillies,13514.0,93.0,493.0,475.0,0.0,0.0
Phillies,14345.0,91.0,490.0,486.0,0.0,1.0
Phillies,14345.0,91.0,487.0,489.0,0.0,1.0
Phillies,12247.0,82.0,483.0,487.0,0.0,0.0
Phillies,13167.0,77.0,486.0,490.0,0.0,0.0
Phillies,13718.0,84.0,486.0,438.0,1.0,0.0
Phillies,16621.0,85.0,486.0,442.0,1.0,0.0
Phillies,23054.0,81.0,490.0,439.0,1.0,1.0
Phillies,15807.0,80.0,500.0,630.0,0.0,0.0
Phillies,14516.0,77.0,503.0,626.0,0.0,0.0
Cubs,40155.0,41.0,543.0,383.0,1.0,1.0
Cubs,34956.0,44.0,543.0,383.0,1.0,1.0
Cubs,18151.0,51.0,200.0,500.0,0.0,0.0
Cubs,22471.0,64.0,333.0,429.0,0.0,0.0
Cubs,24496.0,75.0,286.0,500.0,0.0,0.0
Cubs,33949.0,64.0,357.0,533.0,1.0,0.0
Cubs,36476.0,48.0,400.0,500.0,1.0,1.0
Cubs,29458.0,42.0,375.0,529.0,1.0,1.0
Cubs,30643.0,60.0,353.0,667.0,0.0,0.0
Cubs,28817.0,73.0,333.0,684.0,0.0,0.0
